geoid,knoopnr,naam,lat,lon
6879,90,Fietsnetwerk Vlaams-Brabant,50.81537328891335,4.754167215297199
6884,73,Fietsnetwerk Vlaams-Brabant,50.871542201881525,4.718612132092107
6887,33,Fietsnetwerk Vlaams-Brabant,50.8851589687995,4.713027030425173
6897,38,Fietsnetwerk Vlaams-Brabant,50.89983331927437,4.643675488094855
6901,13,Fietsnetwerk Vlaams-Brabant,50.86146992967964,4.663292876616788
6904,2,Fietsnetwerk Vlaams-Brabant,50.847300258569526,4.62048520963672
6905,14,Fietsnetwerk Vlaams-Brabant,50.86533856691822,4.638387799270332
6914,18,Fietsnetwerk Vlaams-Brabant,50.85046968144969,4.586793291949761
6916,19,Fietsnetwerk Vlaams-Brabant,50.84300308046816,4.580859311617596
6920,9,Fietsnetwerk Vlaams-Brabant,50.83297995292692,4.582520329277553
6924,3,Fietsnetwerk Vlaams-Brabant,50.834733187199745,4.599554647344731
6931,1,Fietsnetwerk Vlaams-Brabant,50.82425121833139,4.66202785772753
6934,79,Fietsnetwerk Vlaams-Brabant,50.80646007029096,4.664862015929399
6939,5,Fietsnetwerk Vlaams-Brabant,50.78809204062201,4.633914170549362
6942,4,Fietsnetwerk Vlaams-Brabant,50.799055253038524,4.613337302808711
6994,6,Fietsnetwerk Vlaams-Brabant,50.77404345405225,4.580084565963925
7013,57,Fietsnetwerk Vlaams-Brabant,50.811257007076016,4.554351678304624
7017,8,Fietsnetwerk Vlaams-Brabant,50.81762883479786,4.552216515268566
7026,40,Fietsnetwerk Vlaams-Brabant,50.77296443551078,4.536423724708449
7028,41,Fietsnetwerk Vlaams-Brabant,50.769636419170595,4.485763637373243
7031,30,Fietsnetwerk Vlaams-Brabant,50.79172901544746,4.470353354508662
7034,60,Fietsnetwerk Vlaams-Brabant,50.814649425221,4.51990441058173
7039,50,Fietsnetwerk Vlaams-Brabant,50.849427117425165,4.529063285171435
7040,46,Fietsnetwerk Vlaams-Brabant,50.83256359546115,4.530995340027935
7048,45,Fietsnetwerk Vlaams-Brabant,50.83502192684813,4.556058295459748
7061,87,Fietsnetwerk Vlaams-Brabant,50.86091996251341,4.730139244439495
7233,27,Fietsnetwerk Vlaams-Brabant,50.7405300966398,4.198186312858093
7237,26,Fietsnetwerk Vlaams-Brabant,50.74182639443512,4.176453907986296
7242,58,Fietsnetwerk Vlaams-Brabant,50.75439558762436,4.148825332924045
7251,11,Fietsnetwerk Vlaams-Brabant,50.774792647631706,4.182967364560586
7254,71,Fietsnetwerk Vlaams-Brabant,50.78022750060526,4.210779842039346
7255,72,Fietsnetwerk Vlaams-Brabant,50.77804904157118,4.210227483921889
7257,70,Fietsnetwerk Vlaams-Brabant,50.77785190255832,4.245214004461391
7263,69,Fietsnetwerk Vlaams-Brabant,50.78748724933981,4.255712099456291
7286,25,Fietsnetwerk Vlaams-Brabant,50.7402370444282,4.133998215331055
